Region.1,Region.2,var1,var2,cor,statistic,p,conf.low,conf.high,method
CUCP,CUCP,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
CUCP,NPEC,mean.relabun.1,mean.relabun.2,0.94,14.912764900121749,1.09e-15,0.8749211097258653,0.9686142913256123,Pearson
CUCP,NPSG,mean.relabun.1,mean.relabun.2,0.97,23.217385805271064,3.660000000000001e-21,0.9444032527771676,0.9864260659511161,Pearson
CUCP,NPTZ,mean.relabun.1,mean.relabun.2,0.95,16.899783066075788,3.4e-17,0.8999029294004646,0.9751311230822222,Pearson
CUCP,PEDP,mean.relabun.1,mean.relabun.2,0.93,13.899185492545765,7.32e-15,0.8586129664333367,0.9642894621045109,Pearson
CUCP,SS,mean.relabun.1,mean.relabun.2,0.81,7.638991531685346,1.3e-8,0.6432875515573656,0.9013629635759829,Pearson
NPEC,CUCP,mean.relabun.1,mean.relabun.2,0.94,14.912764900121749,1.09e-15,0.8749211097258653,0.9686142913256123,Pearson
NPEC,NPEC,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
NPEC,NPSG,mean.relabun.1,mean.relabun.2,0.95,16.62567968850898,5.38e-17,0.8969101325416304,0.9743572120838728,Pearson
NPEC,NPTZ,mean.relabun.1,mean.relabun.2,0.88,10.566232278037104,8.46e-12,0.7775370610733213,0.9419181797409978,Pearson
NPEC,PEDP,mean.relabun.1,mean.relabun.2,0.99,41.56153268393581,9.400000000000001e-29,0.9819714914824204,0.9956616997718529,Pearson
NPEC,SS,mean.relabun.1,mean.relabun.2,0.87,9.61014087164101,8.21e-11,0.7425348404424682,0.9317870952675921,Pearson
NPSG,CUCP,mean.relabun.1,mean.relabun.2,0.97,23.217385805271064,3.660000000000001e-21,0.9444032527771676,0.9864260659511161,Pearson
NPSG,NPEC,mean.relabun.1,mean.relabun.2,0.95,16.62567968850898,5.38e-17,0.8969101325416304,0.9743572120838728,Pearson
NPSG,NPSG,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
NPSG,NPTZ,mean.relabun.1,mean.relabun.2,0.91,12.570708304785633,1.05e-13,0.8322672096581476,0.9571815868198549,Pearson
NPSG,PEDP,mean.relabun.1,mean.relabun.2,0.93,13.659624246305757,1.17e-14,0.8543179296375635,0.9631409885713138,Pearson
NPSG,SS,mean.relabun.1,mean.relabun.2,0.78,6.94525418867826,8.61e-8,0.5967804604544847,0.8861722884258092,Pearson
NPTZ,CUCP,mean.relabun.1,mean.relabun.2,0.95,16.899783066075788,3.4e-17,0.8999029294004646,0.9751311230822222,Pearson
NPTZ,NPEC,mean.relabun.1,mean.relabun.2,0.88,10.566232278037104,8.46e-12,0.7775370610733213,0.9419181797409978,Pearson
NPTZ,NPSG,mean.relabun.1,mean.relabun.2,0.91,12.570708304785633,1.05e-13,0.8322672096581476,0.9571815868198549,Pearson
NPTZ,NPTZ,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
NPTZ,PEDP,mean.relabun.1,mean.relabun.2,0.9,11.433880757231346,1.19e-12,0.8038881275688683,0.9493528481213211,Pearson
NPTZ,SS,mean.relabun.1,mean.relabun.2,0.82,7.925698066055293,6.02e-9,0.6605142505829749,0.9068330461031581,Pearson
PEDP,CUCP,mean.relabun.1,mean.relabun.2,0.93,13.899185492545765,7.32e-15,0.8586129664333367,0.9642894621045109,Pearson
PEDP,NPEC,mean.relabun.1,mean.relabun.2,0.99,41.56153268393581,9.400000000000001e-29,0.9819714914824204,0.9956616997718529,Pearson
PEDP,NPSG,mean.relabun.1,mean.relabun.2,0.93,13.659624246305757,1.17e-14,0.8543179296375635,0.9631409885713138,Pearson
PEDP,NPTZ,mean.relabun.1,mean.relabun.2,0.9,11.433880757231346,1.19e-12,0.8038881275688683,0.9493528481213211,Pearson
PEDP,PEDP,mean.relabun.1,mean.relabun.2,1,373646341.4092065,3.329999999999998e-244,0.9999999999999998,1,Pearson
PEDP,SS,mean.relabun.1,mean.relabun.2,0.9,11.471899785354713,1.09e-12,0.8049417593585049,0.9496467705645049,Pearson
SS,CUCP,mean.relabun.1,mean.relabun.2,0.81,7.638991531685346,1.3e-8,0.6432875515573656,0.9013629635759829,Pearson
SS,NPEC,mean.relabun.1,mean.relabun.2,0.87,9.61014087164101,8.21e-11,0.7425348404424682,0.9317870952675921,Pearson
SS,NPSG,mean.relabun.1,mean.relabun.2,0.78,6.94525418867826,8.61e-8,0.5967804604544847,0.8861722884258092,Pearson
SS,NPTZ,mean.relabun.1,mean.relabun.2,0.82,7.925698066055293,6.02e-9,0.6605142505829749,0.9068330461031581,Pearson
SS,PEDP,mean.relabun.1,mean.relabun.2,0.9,11.471899785354713,1.09e-12,0.8049417593585049,0.9496467705645049,Pearson
SS,SS,mean.relabun.1,mean.relabun.2,1,373646341.4092065,3.329999999999998e-244,0.9999999999999998,1,Pearson
